Category: All categories

Week,crows: (Worldwide),blue jays: (Worldwide),magpie: (Worldwide)
2019-02-24,44,32,19
2019-03-03,43,32,18
2019-03-10,39,34,18
2019-03-17,46,39,19
2019-03-24,47,93,18
2019-03-31,47,92,18
2019-04-07,43,70,20
2019-04-14,42,78,20
2019-04-21,49,100,20
2019-04-28,42,88,21
2019-05-05,47,68,21
2019-05-12,42,66,20
2019-05-19,42,79,22
2019-05-26,42,64,22
2019-06-02,45,81,21
2019-06-09,42,57,20
2019-06-16,38,64,20
2019-06-23,42,62,20
2019-06-30,42,71,19
2019-07-07,40,44,19
2019-07-14,42,58,18
2019-07-21,43,74,20
2019-07-28,44,95,20
2019-08-04,39,88,20
2019-08-11,43,90,21
2019-08-18,39,67,22
2019-08-25,39,66,21
2019-09-01,35,54,23
2019-09-08,36,54,23
2019-09-15,39,55,30
2019-09-22,39,55,23
2019-09-29,41,25,23
2019-10-06,41,13,23
2019-10-13,40,13,23
2019-10-20,36,13,22
2019-10-27,38,14,21
2019-11-03,36,13,21
2019-11-10,42,13,22
2019-11-17,38,15,20
2019-11-24,36,13,22
2019-12-01,35,16,18
2019-12-08,33,19,19
2019-12-15,34,19,18
2019-12-22,36,31,19
2019-12-29,38,20,23
2020-01-05,35,17,22
2020-01-12,36,22,19
2020-01-19,36,22,19
2020-01-26,36,18,18
2020-02-02,38,18,18
2020-02-09,37,24,18
2020-02-16,39,27,21
